raw_text,rating,char_len,word_count,lang,clean_text
"Блузка сшита аккуратно, но это не хлопок((",neautral,42,7,ru,"блузка сшита аккуратно, но это не хлопок(("
"Ооочень клевая пижамка, прям как на картинке, все также, единственное - маленькое пятнышко на шортах сзади, поэтому снижаю оценку",neautral,129,19,ru,"ооочень клевая пижамка, прям как на картинке, все также, единственное - маленькое пятнышко на шортах сзади, поэтому снижаю оценку"
"доставка месяц. заказала 2хл, для мамы. пришли леггинсы на ощупь мягкие, хорошие с первого взгляда, но надела она их и по попе по шву пошли дырки. хотя леггинсы не в натяг, в ремне  и в ногах есть даже места. продавец молодец хотел защитить репутацию своего товара, предложил новые леггинсы да еще и следки капроновые положил в подарок. просила проверить их сразу, чтобы дырок не было при растягивании. но увы пришли вторые леггинсы и такие же. в итоге мне вернули деньги. четыри звезды только за отзывчивость продавца",neautral,518,86,ru,"доставка месяц. заказала 2хл, для мамы. пришли леггинсы на ощупь мягкие, хорошие с первого взгляда, но надела она их и по попе по шву пошли дырки. хотя леггинсы не в натяг, в ремне и в ногах есть даже места. продавец молодец хотел защитить репутацию своего товара, предложил новые леггинсы да еще и следки капроновые положил в подарок. просила проверить их сразу, чтобы дырок не было при растягивании. но увы пришли вторые леггинсы и такие же. в итоге мне вернули деньги. четыри звезды только за отзывчивость продавца"
"Долго сомневалась по поводу покупки этого пуховика..  Просила продавца выслать реальные фото вещи,  он уверял,  что все будет как на фото.  И вот заказ пришёл...  На карманах стоит абсолютно разного цвета мех(неужели на самом видном месте нельзя было поставить одинаковый??).  Размер соответствует сетке продавца,  но рукава на рост 170 короткие,  молния заедает.  Фасон трапеция,  к низу расширяется,  кулиски нет,  поддувает. Отнесла в ателье.  Молнию заменили,  по низу пустили кулиску,  мех буду тонировать(для этого надо отпороть карманы).Рукава к сожалению не исправить. 
В итоге в покупку за 5000 рублей уже вложила 2000 руб,  так что думайте... 
Доставка с треком за 17 дней в СПб.",neautral,691,102,ru,"долго сомневалась по поводу покупки этого пуховика.. просила продавца выслать реальные фото вещи, он уверял, что все будет как на фото. и вот заказ пришёл... на карманах стоит абсолютно разного цвета мех(неужели на самом видном месте нельзя было поставить одинаковый??). размер соответствует сетке продавца, но рукава на рост 170 короткие, молния заедает. фасон трапеция, к низу расширяется, кулиски нет, поддувает. отнесла в ателье. молнию заменили, по низу пустили кулиску, мех буду тонировать(для этого надо отпороть карманы).рукава к сожалению не исправить. в итоге в покупку за 5000 рублей уже вложила 2000 руб, так что думайте... доставка с треком за 17 дней в спб."
"Майка конечно тянет на троечку. Пошита не аккуратно. И очень, очень тонкая синтетика. На свой 44-46 взяла размер S. По мне больше и не надо сильно, тянется и просвечивает. Доставка месяц.",neautral,187,31,ru,"майка конечно тянет на троечку. пошита не аккуратно. и очень, очень тонкая синтетика. на свой 44-46 взяла размер s. по мне больше и не надо сильно, тянется и просвечивает. доставка месяц."
"Доставка быстрая, но: торчат нитки, немного колется, специфичный запах (не большой, но все же), короткие рукава",neautral,111,16,ru,"доставка быстрая, но: торчат нитки, немного колется, специфичный запах (не большой, но все же), короткие рукава"
"Не пришел,после спора деньги вернули",neautral,36,5,ru,"не пришел,после спора деньги вернули"
не очень понравилось качество и запах от кофты отвратительный закрыла и закинула как можно дальше,neautral,97,15,ru,не очень понравилось качество и запах от кофты отвратительный закрыла и закинула как можно дальше
товар не пришел (((вернули деньги за это спасибо!!!!,neautral,52,8,ru,товар не пришел (((вернули деньги за это спасибо!!!!
Заказала втрой раз. Первый раз заказывала 2 года назад пришла отличная куртка качество супер. Щас пришло другого качества. Сделали какие то карманы тупые внизу которых не было на первой куртке. И качество не понятное не такая пушистая и не настолько наполненная как первая.  Вообщем когда она только появилась была намного лучше. А когда поняли что куртку все заказывают и спрос идёт на эту вещь  решили подпортить все и фигню пихать людям ,neautral,440,71,ru,заказала втрой раз. первый раз заказывала 2 года назад пришла отличная куртка качество супер. щас пришло другого качества. сделали какие то карманы тупые внизу которых не было на первой куртке. и качество не понятное не такая пушистая и не настолько наполненная как первая. вообщем когда она только появилась была намного лучше. а когда поняли что куртку все заказывают и спрос идёт на эту вещь решили подпортить все и фигню пихать людям
"Кофта полная синтетика, к вечеру вся в ней вспотела. В первый день носки - порвался шов на рукаве. На мои объемы -85-64-94, плечи малы. Длина короткая, на рост 164 см. Можно носить только под жилет или пиджак., и заправлять в юбку или джинсы с высокой посадкой. Единственное, что понравилось - это красивый серый цвет, не мышиный. Лучше доплатить - и купить более качественную вещь. ",neautral,383,64,ru,"кофта полная синтетика, к вечеру вся в ней вспотела. в первый день носки - порвался шов на рукаве. на мои объемы -85-64-94, плечи малы. длина короткая, на рост 164 см. можно носить только под жилет или пиджак., и заправлять в юбку или джинсы с высокой посадкой. единственное, что понравилось - это красивый серый цвет, не мышиный. лучше доплатить - и купить более качественную вещь."
качество ужас!лично мне не понравилось.за эту то цену...,neautral,56,8,ru,качество ужас!лично мне не понравилось.за эту то цену...
Слишком маленький размер ,neautral,25,3,ru,слишком маленький размер
Слишком широкий и длинный рукав. Кожаные детали не обработаны. С доработкой смотрится модно и стильно.,neautral,102,15,ru,слишком широкий и длинный рукав. кожаные детали не обработаны. с доработкой смотрится модно и стильно.
"Ткань ужасная, как наждачка корявая. Не понимаю восторженных отзывов.",neautral,69,9,ru,"ткань ужасная, как наждачка корявая. не понимаю восторженных отзывов."
"Цвет не соответствует заказанному, вместо голубого прислали синюю, чем огорчило мою дочь. Будьте внимательны к пожеланиям покупателя!",neautral,133,17,ru,"цвет не соответствует заказанному, вместо голубого прислали синюю, чем огорчило мою дочь. будьте внимательны к пожеланиям покупателя!"
"На воротнике плохо пришита ткань. Кусочек небольшой (около сантиметра), но впечатление от товара испортилось.  Придется аккуратно пришивать его (ткань тонкая, ее легко повредить). +присутствуют нитки",neautral,199,25,ru,"на воротнике плохо пришита ткань. кусочек небольшой (около сантиметра), но впечатление от товара испортилось. придется аккуратно пришивать его (ткань тонкая, ее легко повредить). присутствуют нитки"
"Сама кофта сделана хорошо, но размер совершенно не подошел, придется отдавать родным. Продавец, сделайте пожалуйста таблицу размеров с азиатских на европейские, или русские и прошу указывать ро каким размерам у вас тут смотреть.",neautral,228,33,ru,"сама кофта сделана хорошо, но размер совершенно не подошел, придется отдавать родным. продавец, сделайте пожалуйста таблицу размеров с азиатских на европейские, или русские и прошу указывать ро каким размерам у вас тут смотреть."
Хорошего качества. По размеру подошел.,neautral,38,5,ru,хорошего качества. по размеру подошел.
"очень широкая для размера s , ткань тонкая, капюшон странной формы.",neautral,67,11,ru,"очень широкая для размера s , ткань тонкая, капюшон странной формы."
не получила и продавец долго не хотел возвращать деньги,neautral,55,9,ru,не получила и продавец долго не хотел возвращать деньги
"Блузкa очень приятная к телу,на мой размер 46-48 заказывала XXL,размер подошел под низ можно одеть еще маечку.Только огорчил срок доставки,заказала 10 ноября 2017,а пришел заказ только 4 января 2018,почти 2 месяца ждала заказ.Планировала получить блузку до Нового года.",neautral,269,38,ru,"блузкa очень приятная к телу,на мой размер 46-48 заказывала xxl,размер подошел под низ можно одеть еще маечку.только огорчил срок доставки,заказала 10 ноября 2017,а пришел заказ только 4 января 2018,почти 2 месяца ждала заказ.планировала получить блузку до нового года."
"Платье пришло за 21 день в ЮФО. Много читала отклики прежде чем заказать, платье оказалось маловато, хотя мой вес 70 кг, и заказала XXL. Подклада просвечивается видно нижнее белье. Доставка порадовала молодцы очень быстро. Новогодний корпоратив с коллегами 29 декабря, теперь надо успеть купить другое платье. Посылка отслеживалась на каждом шагу, здорово.",neautral,356,52,ru,"платье пришло за 21 день в юфо. много читала отклики прежде чем заказать, платье оказалось маловато, хотя мой вес 70 кг, и заказала xxl. подклада просвечивается видно нижнее белье. доставка порадовала молодцы очень быстро. новогодний корпоратив с коллегами 29 декабря, теперь надо успеть купить другое платье. посылка отслеживалась на каждом шагу, здорово."
"короткий, несуразный. Жестковат.",neautral,32,3,ru,"короткий, несуразный. жестковат."
"Майка странная, сшита ровно, по фигуре не сидит... одевала один раз под пиджак, но носить скорее всего не буду.",neautral,111,19,ru,"майка странная, сшита ровно, по фигуре не сидит... одевала один раз под пиджак, но носить скорее всего не буду."
"Платье, скажем так, не очень, на фото совсем по-другому, в магазине и за 100 руб. бы не купила.",neautral,95,18,ru,"платье, скажем так, не очень, на фото совсем по-другому, в магазине и за 100 руб. бы не купила."
"Заказ отправлялся больше двух недель, уже теряла терпение, потом плюнула на все. Про саму ковтейку. Цвет соответствует, на фото выглядит так нежно, будто в пряже есть вискоза, с блеском. На самом деле очень простенько смотрится, спущенных петель нет, есть хвостики от вязки, заправила крючком. Фасон на любителя, мне понравилась длина. Звезды сняла за долгую отправку и неконтнактость продавца.",neautral,394,58,ru,"заказ отправлялся больше двух недель, уже теряла терпение, потом плюнула на все. про саму ковтейку. цвет соответствует, на фото выглядит так нежно, будто в пряже есть вискоза, с блеском. на самом деле очень простенько смотрится, спущенных петель нет, есть хвостики от вязки, заправила крючком. фасон на любителя, мне понравилась длина. звезды сняла за долгую отправку и неконтнактость продавца."
"за такую цену я разочарована товаром, кружево жесткое, колкое, швы наружу торчат...",neautral,83,12,ru,"за такую цену я разочарована товаром, кружево жесткое, колкое, швы наружу торчат..."
"Заказала 2 кофты одного размера. Эта оказалась на 2 размера меньше заявленного, и соответственно мала",neautral,101,15,ru,"заказала 2 кофты одного размера. эта оказалась на 2 размера меньше заявленного, и соответственно мала"
"платье не соответствует размеру, очень узкие рукава",neautral,51,7,ru,"платье не соответствует размеру, очень узкие рукава"
"качество ткани конечно ужасное, тонкая, липнет к телу, один плюс пошито ровно",neautral,77,12,ru,"качество ткани конечно ужасное, тонкая, липнет к телу, один плюс пошито ровно"
"по срокам очень быстро, в Пермь за 10 дней, по качеству см. фото-если умеешь шить , то это ерунда. с размером не угадали , чуть велико.",neautral,135,26,ru,"по срокам очень быстро, в пермь за 10 дней, по качеству см. фото-если умеешь шить , то это ерунда. с размером не угадали , чуть велико."
"качество ткани неочень. торчат нитки
 отовсюду. пояска не было",neautral,63,9,ru,качество ткани неочень. торчат нитки отовсюду. пояска не было
"заказ понравился ,но с размером ошиблись",neautral,40,6,ru,"заказ понравился ,но с размером ошиблись"
"Легинсами не довольна. Во-первых, черные с металическим блеском. Тянуться плохо. Когда одеваю  швы ""трещат"". При ходьбе сползают немного с бедер. При ОБ 98см   2ХХл тесноваты. И есть запах даже после стирки. Кстати после первой стирки все стразы у карманов отвалились и остались круги от клея..",neautral,294,45,ru,"легинсами не довольна. во-первых, черные с металическим блеском. тянуться плохо. когда одеваю швы ""трещат"". при ходьбе сползают немного с бедер. при об 98см 2ххл тесноваты. и есть запах даже после стирки. кстати после первой стирки все стразы у карманов отвалились и остались круги от клея.."
"Ткань на юбке хорошая, плотная, но оторвать бы руки  той швее : боковые швы разной длины и разрез тоже не стыкуется, отдала в ателье выравнивать весь низ ! Часть суммы за ремонт вернули, покупала за 621 руб+ ремонт, так что юбка обошлась совсем в другую сумму ! Доставили  недели за 3. На от 80, об 104 сидит плотно.",neautral,316,58,ru,"ткань на юбке хорошая, плотная, но оторвать бы руки той швее : боковые швы разной длины и разрез тоже не стыкуется, отдала в ателье выравнивать весь низ ! часть суммы за ремонт вернули, покупала за 621 руб ремонт, так что юбка обошлась совсем в другую сумму ! доставили недели за 3. на от 80, об 104 сидит плотно."
"Сами шорты хорошие, качество гепюра хорошее. Сняла две звезды за дырку, к моему сожалению дырка оказалась не по шву.",neautral,116,19,ru,"сами шорты хорошие, качество гепюра хорошее. сняла две звезды за дырку, к моему сожалению дырка оказалась не по шву."
"Не получила товар, но продавец вернул деньги",neautral,44,7,ru,"не получила товар, но продавец вернул деньги"
"Качество, даже за такую цену, ужасно. Цвет не соответствует описанию(бежевый), шли долго по размеру совпадают.",neautral,110,15,ru,"качество, даже за такую цену, ужасно. цвет не соответствует описанию(бежевый), шли долго по размеру совпадают."
Очень долгая доставка - более 50 дней. Ни одной этикетки - просто гаражный пошив...,neautral,83,14,ru,очень долгая доставка - более 50 дней. ни одной этикетки - просто гаражный пошив...
"Пришло быстро, размер подошел, но сразу после стирки слиняло и белое превратилось в серое. Увы",neautral,94,15,ru,"пришло быстро, размер подошел, но сразу после стирки слиняло и белое превратилось в серое. увы"
"Товар пришел за 1 месяц в город Оренбург. Подошли по размеру, только хотелось цвет поярче. Хорошо тянутся. Запах просто едкий,  надеюсь после стрики он пропадет. А так они мне нравятся!)",neautral,186,30,ru,"товар пришел за 1 месяц в город оренбург. подошли по размеру, только хотелось цвет поярче. хорошо тянутся. запах просто едкий, надеюсь после стрики он пропадет. а так они мне нравятся!)"
"кофта очень большая, м на 50размер",neautral,34,6,ru,"кофта очень большая, м на 50размер"
"Качество не очень, молния в конце не очень хорошо закрывается, растянут пояс, мятая очень. ",neautral,91,14,ru,"качество не очень, молния в конце не очень хорошо закрывается, растянут пояс, мятая очень."
"Сильно маломерят. На 48 размер брала L. Очень мелкие, низко сидят. Качество хорошее. Сшиты аккуратно. ",neautral,102,15,ru,"сильно маломерят. на 48 размер брала l. очень мелкие, низко сидят. качество хорошее. сшиты аккуратно."
"носить не буду,  на 160 короткий",neautral,32,6,ru,"носить не буду, на 160 короткий"
"Ожидала плотную более-менее длинную толтовку. То, что пришло, еле до бедер достает по длине, очень толкая ткань и вместо ""good morning"" на принте на стакане написано ""good hcn.bim""",neautral,180,28,ru,"ожидала плотную более-менее длинную толтовку. то, что пришло, еле до бедер достает по длине, очень толкая ткань и вместо ""good morning"" на принте на стакане написано ""good hcn.bim"""
"Качество хорошее,но в талии очень большие.Заказывала всё по своей талии,а пришли просто огромные.",neautral,97,13,ru,"качество хорошее,но в талии очень большие.заказывала всё по своей талии,а пришли просто огромные."
Оказалась достаточно тонкой;( и просвечивается ,neautral,47,5,ru,оказалась достаточно тонкой;( и просвечивается
"что-то не понятное, короткое и широкое",neautral,38,6,ru,"что-то не понятное, короткое и широкое"
Товар пришёл с зелёными пятнами!,neautral,32,5,ru,товар пришёл с зелёными пятнами!
"юбка по качеству хорошая, мягкая. по размеру L на мои параметры 71/95- отлично. но вот пришла юбка порваная по шву в где разрез. открыла спор, продавец в сообщении согласился на компенсацию, но только через киви кошелёк (под честное слово) и после того  как я закрою спор. спор закрывать не стала и получила большую компенсацию от Али.",neautral,335,56,ru,"юбка по качеству хорошая, мягкая. по размеру l на мои параметры 71 95- отлично. но вот пришла юбка порваная по шву в где разрез. открыла спор, продавец в сообщении согласился на компенсацию, но только через киви кошелёк (под честное слово) и после того как я закрою спор. спор закрывать не стала и получила большую компенсацию от али."
"платье короткое, на картинке задняя часть длиннее, в живую нет. ткань немного просвечивает.",neautral,91,13,ru,"платье короткое, на картинке задняя часть длиннее, в живую нет. ткань немного просвечивает."
"Качество плохое. Нитки торчат. Синтетика. Платье сшито на дам с большим бюстом,очень широко в груди.",neautral,100,15,ru,"качество плохое. нитки торчат. синтетика. платье сшито на дам с большим бюстом,очень широко в груди."
"Ехала долго посылка, больше полутора месяца. Доставил курьер
Не совсем соответствует фотографиям, качество куртки на троечку.
Для роста 172 рукава коротковаты",neautral,160,21,ru,"ехала долго посылка, больше полутора месяца. доставил курьер не совсем соответствует фотографиям, качество куртки на троечку. для роста 172 рукава коротковаты"
Кофта без дырок для пуговиц. Пуговицы есть дырок нет,neautral,52,9,ru,кофта без дырок для пуговиц. пуговицы есть дырок нет
"жуткое разочарование...платье-тряпка...оооооооочень тонкий трикотаж, подол жутко растягивается и становится кривой. Отношение продавца отвратительное! 2 недели отправляли заказ. На мои вопросы когда отправят один ответ  "" ждите"". Платье своих денег не стоит совершенно!! золотая цена ему 200 р, а не 800 с лишком. носить можно только дома, т.к. в свет в таком выйти стыдно. не рекомендую ни продавца, ни товар...",neautral,412,59,ru,"жуткое разочарование...платье-тряпка...оооооооочень тонкий трикотаж, подол жутко растягивается и становится кривой. отношение продавца отвратительное! 2 недели отправляли заказ. на мои вопросы когда отправят один ответ "" ждите"". платье своих денег не стоит совершенно!! золотая цена ему 200 р, а не 800 с лишком. носить можно только дома, т.к. в свет в таком выйти стыдно. не рекомендую ни продавца, ни товар..."
